_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,helpfulness,confidence,no,review
2892106090,false,finalized,3,12/10/2020 22:54:18,helpful,1.0,23768,جيد. مديرة خدمة العملاء الانسه بشرى جدا متميزة وذات اخلاق عاليه. نظام التكييف يحتاج صيانه وغسيل ونطاقه
2892106091,false,finalized,3,12/10/2020 22:54:18,helpful,1.0,173933,مقبول. موقع ممتاز. انتظار الاصنصير طويل لم يكن حجزي موجود رغم وجود رقم الحجز معي وصورة منه واعوني شقة مختلفةوتعامل الاستقبال سيء يقول اسف ما اقدر اعمل شي وانا مظطر مع اطفال وتعب السفر وو
2892106092,false,finalized,3,12/10/2020 22:54:18,helpful,0.6765,213748,جيد. الموقع ، طاقم العمل بشوشين ، مكان الافطار صغير ولكن لابأس به فالافطار بسيط. 
2892106093,false,finalized,3,12/10/2020 22:54:18,helpful,1.0,147649,“ممتازة”. كل شي رائع و نظيف و الاسرة نظيفة ومريحه وأيضا المكيافات رائعةالخدمات اللتي يقدمونها لنا القهوه والاشياء الاخرى رائعة. ١-تسجيل الدخول لدى الفندق ٢- الانترنت بطيء٣- لا يوجد تنوع في وجبة الافطار
2892106094,false,finalized,3,12/10/2020 22:55:10,helpful,0.6604,89990,“اروع فندق”. كل شي كان فندق حقيقة اكثر من رائع. ولا شي
2892106095,false,finalized,3,12/10/2020 22:55:10,helpful,1.0,37146,مخيب للأمل. الموقع - المسبح. موظفي الاستقبال - الخدمات
2892106096,false,finalized,3,12/10/2020 22:55:10,helpful,0.6604,120073,ممتاز. راحه ومتعه. لاشي
2892106097,false,finalized,3,12/10/2020 22:55:10,helpful,1.0,139505,“لاباس به”. الموظف سفير والاستاذ كريم. التلفاز صغير جدا ولايكاد يرى وازعاج الطائرات شي خيال
2892106098,false,finalized,3,12/10/2020 22:56:16,helpful,1.0,194775,استثنائي. نظافة الفندق سرعة الخدمة وموقعه والفطور ممتاز والعاملين وقت الفطور جدا ممتازين واي خدمه اطلبها يلبونها كذلك كتبنا لهم انه محتفلين بمناسبة خاصة وارسلو لنا كيك والسعر ممتاز جدا كذلك اتمنى يستمر على هذاا المستوى. 
2892106099,false,finalized,3,12/10/2020 22:56:16,helpful,0.6604,188695,استثنائي. كل شي روووعه. مافي شي
2892106100,false,finalized,3,12/10/2020 22:56:16,helpful,0.6604,51664,“فندق رائع”. القرب من محطة المترو. أصوات بناء في مبنى مجاور
