n,length,num_tokens,num_sentences,avg_sent_len,num_exclm_mark,ratio_q,helpfulness
0,0.11627906976744184,0.08597285067873303,0.0,0.14300847457627114,0.0,0.0,somewhat_helpful
1,0.2463393626184324,0.21266968325791852,0.0,0.3029661016949152,0.0,0.0,helpful
2,0.06546080964685616,0.049773755656108594,0.0,0.08050847457627118,0.0,0.0,unrelated
3,0.20757967269595176,0.17647058823529413,0.043478260869565216,0.18908898305084745,0.0,0.0,helpful
4,0.05684754521963824,0.04072398190045249,0.0,0.06991525423728813,0.0,0.0,helpful
5,0.050818260120585705,0.03167420814479638,0.0,0.0625,0.0,0.0,somewhat_helpful
6,0.03186907838070629,0.013574660633484163,0.0,0.03919491525423729,0.0,0.0,helpful
7,0.09388458225667527,0.07692307692307693,0.0,0.11546610169491525,0.0,0.0,helpful
8,0.26270456503014644,0.2307692307692308,0.0,0.323093220338983,0.0,0.7000000000000001,somewhat_helpful
9,0.033591731266149866,0.013574660633484163,0.0,0.0413135593220339,0.0,0.0,helpful
10,0.07751937984496124,0.05882352941176471,0.0,0.09533898305084744,0.0,0.0,helpful
11,0.12747631352282515,0.10407239819004524,0.0,0.15677966101694915,0.0,0.0,helpful
12,0.15848406546080965,0.1493212669683258,0.0,0.19491525423728812,0.0,0.0,not_helpful
13,0.030146425495262707,0.022624434389140267,0.0,0.03707627118644068,0.0,0.0,somewhat_helpful
14,0.09905254091300604,0.06787330316742081,0.0,0.12182203389830508,0.0,0.0,helpful
15,0.04823428079242033,0.027149321266968326,0.0,0.059322033898305086,0.0,0.0,not_helpful
16,0.12403100775193797,0.11312217194570134,0.08695652173913042,0.08771186440677968,0.0,0.0,helpful
17,0.1024978466838932,0.0995475113122172,0.0,0.1260593220338983,0.0,0.0,helpful
18,0.05254091300602928,0.03619909502262444,0.0,0.0646186440677966,0.0,0.0,somewhat_helpful
19,0.018087855297157618,0.01809954751131222,0.0,0.02224576271186441,0.0,0.0,somewhat_helpful
